thk,kgm,h,b,profileCode,code,localIndex
18,47.4510834,200,150,UA,EN 10056,38
6.35,3.521889126,44.45,31.75,UA,ASTM,39
6.35,3.842060864,50.8,31.75,UA,ASTM,40
3.18,2.164436386,50.8,38.1,UA,ASTM,41
4.76,3.180130955,50.8,38.1,UA,ASTM,42
6.35,4.162232603,50.8,38.1,UA,ASTM,43
4.76,3.66013646,63.5,38.1,UA,ASTM,44
6.35,4.80257608,63.5,38.1,UA,ASTM,45
4.76,3.66013646,63.5,38.1,UA,ASTM,46
4.76,4.140141964,63.5,50.8,UA,ASTM,47
6.35,5.442919558,63.5,50.8,UA,ASTM,48
9.53,7.92803189,63.5,50.8,UA,ASTM,49
7.94,6.705549533,63.5,50.8,UA,ASTM,50
4.76,4.620147468,76.2,50.8,UA,ASTM,51
6.35,6.083263035,76.2,50.8,UA,ASTM,52
7.94,7.506230984,76.2,50.8,UA,ASTM,53
9.53,8.889051314,76.2,50.8,UA,ASTM,54
12.7,11.52618259,76.2,50.8,UA,ASTM,55
4.76,5.100152972,76.2,63.5,UA,ASTM,56
6.35,6.723606512,76.2,63.5,UA,ASTM,57
7.94,8.306912434,76.2,63.5,UA,ASTM,58
9.53,9.850070737,76.2,63.5,UA,ASTM,59
11.1,11.33442495,76.2,63.5,UA,ASTM,60
12.7,12.80686955,76.2,63.5,UA,ASTM,61
6.35,7.36394999,88.9,63.5,UA,ASTM,62
7.94,9.107593884,88.9,63.5,UA,ASTM,63
9.53,10.81109016,88.9,63.5,UA,ASTM,64
12.7,14.0875565,88.9,63.5,UA,ASTM,65
6.35,8.004293467,88.9,76.2,UA,ASTM,66
7.94,9.908275335,88.9,76.2,UA,ASTM,67
9.53,11.77210958,88.9,76.2,UA,ASTM,68
11.1,13.57310609,88.9,76.2,UA,ASTM,69
12.7,15.36824346,88.9,76.2,UA,ASTM,70
6.35,8.664805243,102,76.2,UA,ASTM,71
7.94,10.7341751,102,76.2,UA,ASTM,72
9.53,12.76339734,102,76.2,UA,ASTM,73
12.7,16.68926701,102,76.2,UA,ASTM,74
15.9,20.49043546,102,76.2,UA,ASTM,75
6.35,9.30514872,102,88.9,UA,ASTM,76
7.94,11.53485655,102,88.9,UA,ASTM,77
9.53,13.72441676,102,88.9,UA,ASTM,78
12.7,17.96995396,102,88.9,UA,ASTM,79
6.35,9.925323899,127,76.2,UA,ASTM,80
7.94,12.31031969,127,76.2,UA,ASTM,81
9.53,14.65516785,127,76.2,UA,ASTM,82
11.1,16.93112779,127,76.2,UA,ASTM,83
12.7,19.21030432,127,76.2,UA,ASTM,84
19.1,29.84654089,127,88.9,UA,ASTM,85
15.9,25.2500745,127,88.9,UA,ASTM,86
12.7,20.49099128,127,88.9,UA,ASTM,87
9.53,15.61618728,127,88.9,UA,ASTM,88
7.94,13.11100114,127,88.9,UA,ASTM,89
6.35,10.56566738,127,88.9,UA,ASTM,90
7.94,14.68714572,152,88.9,UA,ASTM,91
9.53,17.5079578,152,88.9,UA,ASTM,92
12.7,23.01202859,152,88.9,UA,ASTM,93
7.94,15.51304549,152,102,UA,ASTM,94
9.53,18.49924555,152,102,UA,ASTM,95
11.1,21.40849005,152,102,UA,ASTM,96
12.7,24.33305214,152,102,UA,ASTM,97
14.3,27.21696002,152,102,UA,ASTM,98
15.9,30.06021369,152,102,UA,ASTM,99
19.1,35.62475841,152,102,UA,ASTM,100
22.2,40.86033754,152,102,UA,ASTM,101
9.53,20.46668689,178,102,UA,ASTM,102
11.1,23.70005342,178,102,UA,ASTM,103
12.7,26.95493095,178,102,UA,ASTM,104
15.9,33.34272338,178,102,UA,ASTM,105
19.1,39.56789898,178,102,UA,ASTM,106
11.1,25.90347973,203,102,UA,ASTM,107
12.7,29.47596826,203,102,UA,ASTM,108
14.3,33.00780258,203,102,UA,ASTM,109
15.9,36.49898269,203,102,UA,ASTM,110
19.1,43.35938029,203,102,UA,ASTM,111
22.2,49.85031689,203,102,UA,ASTM,112
25.4,56.39056261,203,102,UA,ASTM,113
11.1,30.31033235,203,152,UA,ASTM,114
12.7,34.51804288,203,152,UA,ASTM,115
14.3,38.6850992,203,152,UA,ASTM,116
15.9,42.81150131,203,152,UA,ASTM,117
19.1,50.94234291,203,152,UA,ASTM,118
22.2,58.66402214,203,152,UA,ASTM,119
25.4,66.47471186,203,152,UA,ASTM,120
9,11.1481461,90,75,UA,JIS G 3192,121
7,9.3377634,100,75,UA,JIS G 3192,122
10,13.10145375,100,75,UA,JIS G 3192,123
7,10.72731153,125,75,UA,JIS G 3192,124
10,15.0865225,125,75,UA,JIS G 3192,125
13,19.30280853,125,75,UA,JIS G 3192,126
10,16.27756375,125,90,UA,JIS G 3192,127
13,20.85116215,125,90,UA,JIS G 3192,128
9,16.50783173,150,90,UA,JIS G 3192,129
12,21.7245924,150,90,UA,JIS G 3192,130
9,17.22245648,150,100,UA,JIS G 3192,131
12,22.6774254,150,100,UA,JIS G 3192,132
15,27.98946938,150,100,UA,JIS G 3192,133
5,4.36715125,65,50,UA,AS 3679.2,134
6,5.19293985,65,50,UA,AS 3679.2,135
8,6.7968754,65,50,UA,AS 3679.2,136
5,4.764165,75,50,UA,AS 3679.2,137
6,5.66935635,75,50,UA,AS 3679.2,138
8,7.4320974,75,50,UA,AS 3679.2,139
6,8.05143885,100,75,UA,AS 3679.2,140
8,10.6082074,100,75,UA,AS 3679.2,141
10,13.10145375,100,75,UA,AS 3679.2,142
6,9.2424801,125,75,UA,AS 3679.2,143
8,12.1962624,125,75,UA,AS 3679.2,144
10,15.0865225,125,75,UA,AS 3679.2,145
12,17.9132604,125,75,UA,AS 3679.2,146
8,14.7371504,150,90,UA,AS 3679.2,147
10,18.2626325,150,90,UA,AS 3679.2,148
12,21.7245924,150,90,UA,AS 3679.2,149
16,28.4579456,150,90,UA,AS 3679.2,150
10,19.05666,150,100,UA,AS 3679.2,151
12,22.6774254,150,100,UA,AS 3679.2,152
